"","agegrp","cob","ethgrp","pop_EW","pop_E"
"475"," 35 to 39","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","71479","69750"
"476"," 35 to 39","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","40214","39340"
"477"," 35 to 39","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","30757","30433"
"478"," 35 to 39","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","18102","17654"
"479"," 35 to 39","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","10436","10046"
"480"," 35 to 39","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","48788","48132"
"481"," 40 to 44","Total: Country of birth","Total: Ethnic group","2027932","1923441"
"482"," 40 to 44","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","1745065","1645530"
"483"," 40 to 44","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","86872","84760"
"484"," 40 to 44","Total: Country of birth","Asian/Asian British: Indian","51672","50965"
"485"," 40 to 44","Total: Country of birth","Asian/Asian British: Pakistani","37285","36822"
"486"," 40 to 44","Total: Country of birth","Asian/Asian British: Bangladeshi","15381","14966"
"487"," 40 to 44","Total: Country of birth","Asian/Asian British: Chinese","10876","10476"
"488"," 40 to 44","Total: Country of birth","Black/African/Caribbean/Black British","80781","79922"
"489"," 40 to 44","Born in UK or Rest of Europe","Total: Ethnic group","1802980","1702920"
"490"," 40 to 44","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","1699559","1601171"
"491"," 40 to 44","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","31987","31062"
"492"," 40 to 44","Born in UK or Rest of Europe","Asian/Asian British: Indian","20163","20012"
"493"," 40 to 44","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","11712","11536"
"494"," 40 to 44","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","1146","1113"
"495"," 40 to 44","Born in UK or Rest of Europe","Asian/Asian British: Chinese","2159","2085"
"496"," 40 to 44","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","36254","35941"
"497"," 40 to 44","Born outside the UK and Rest of Europe","Total: Ethnic group","224952","220521"
"498"," 40 to 44","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","45506","44359"
"499"," 40 to 44","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","54885","53698"
"500"," 40 to 44","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","31509","30953"
"501"," 40 to 44","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","25573","25286"
"502"," 40 to 44","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","14235","13853"
"503"," 40 to 44","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","8717","8391"
"504"," 40 to 44","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","44527","43981"
"505"," 45 to 49","Total: Country of birth","Total: Ethnic group","2028286","1919758"
"506"," 45 to 49","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","1801409","1696591"
"507"," 45 to 49","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","67884","66270"
"508"," 45 to 49","Total: Country of birth","Asian/Asian British: Indian","41358","40925"
"509"," 45 to 49","Total: Country of birth","Asian/Asian British: Pakistani","22460","22181"
"510"," 45 to 49","Total: Country of birth","Asian/Asian British: Bangladeshi","9356","9083"
"511"," 45 to 49","Total: Country of birth","Asian/Asian British: Chinese","10054","9706"
"512"," 45 to 49","Total: Country of birth","Black/African/Caribbean/Black British","75765","75002"
"513"," 45 to 49","Born in UK or Rest of Europe","Total: Ethnic group","1837814","1732739"
"514"," 45 to 49","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","1761257","1657506"
"515"," 45 to 49","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","25275","24473"
"516"," 45 to 49","Born in UK or Rest of Europe","Asian/Asian British: Indian","7564","7500"
"517"," 45 to 49","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","2676","2640"
"518"," 45 to 49","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","398","381"
"519"," 45 to 49","Born in UK or Rest of Europe","Asian/Asian British: Chinese","898","868"
"520"," 45 to 49","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","39746","39371"
"521"," 45 to 49","Born outside the UK and Rest of Europe","Total: Ethnic group","190472","187019"
"522"," 45 to 49","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","40152","39085"
"523"," 45 to 49","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","42609","41797"
"524"," 45 to 49","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","33794","33425"
"525"," 45 to 49","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","19784","19541"
"526"," 45 to 49","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","8958","8702"
"527"," 45 to 49","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","9156","8838"
"528"," 45 to 49","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","36019","35631"
"529"," 50 to 54","Total: Country of birth","Total: Ethnic group","1786690","1687729"
"530"," 50 to 54","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","1610282","1514238"
"531"," 50 to 54","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","48395","47126"
"532"," 50 to 54","Total: Country of birth","Asian/Asian British: Indian","40571","40205"
"533"," 50 to 54","Total: Country of birth","Asian/Asian British: Pakistani","20895","20599"
"534"," 50 to 54","Total: Country of birth","Asian/Asian British: Bangladeshi","7808","7592"
"535"," 50 to 54","Total: Country of birth","Asian/Asian British: Chinese","9101","8776"
"536"," 50 to 54","Total: Country of birth","Black/African/Caribbean/Black British","49638","49193"
"537"," 50 to 54","Born in UK or Rest of Europe","Total: Ethnic group","1608517","1512605"
"538"," 50 to 54","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","1575439","1480352"
"539"," 50 to 54","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","15000","14414"
"540"," 50 to 54","Born in UK or Rest of Europe","Asian/Asian British: Indian","2177","2143"
"541"," 50 to 54","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","836","821"
"542"," 50 to 54","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","255","243"
"543"," 50 to 54","Born in UK or Rest of Europe","Asian/Asian British: Chinese","473","440"
"544"," 50 to 54","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","14337","14192"
"545"," 50 to 54","Born outside the UK and Rest of Europe","Total: Ethnic group","178173","175124"
"546"," 50 to 54","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","34843","33886"
"547"," 50 to 54","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","33395","32712"
"548"," 50 to 54","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","38394","38062"
"549"," 50 to 54","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","20059","19778"
"550"," 50 to 54","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","7553","7349"
"551"," 50 to 54","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","8628","8336"
"552"," 50 to 54","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","35301","35001"
"553"," 55 to 59","Total: Country of birth","Total: Ethnic group","1573599","1481745"
"554"," 55 to 59","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","1444920","1355076"
"555"," 55 to 59","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","34600","33704"
"556"," 55 to 59","Total: Country of birth","Asian/Asian British: Indian","37218","36932"
"557"," 55 to 59","Total: Country of birth","Asian/Asian British: Pakistani","18586","18344"
"558"," 55 to 59","Total: Country of birth","Asian/Asian British: Bangladeshi","4466","4336"
"559"," 55 to 59","Total: Country of birth","Asian/Asian British: Chinese","7144","6927"
"560"," 55 to 59","Total: Country of birth","Black/African/Caribbean/Black British","26665","26426"
"561"," 55 to 59","Born in UK or Rest of Europe","Total: Ethnic group","1429849","1340344"
"562"," 55 to 59","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","1417616","1328596"
"563"," 55 to 59","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","8205","7792"
"564"," 55 to 59","Born in UK or Rest of Europe","Asian/Asian British: Indian","893","883"
"565"," 55 to 59","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","517","512"
"566"," 55 to 59","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","126","121"
"567"," 55 to 59","Born in UK or Rest of Europe","Asian/Asian British: Chinese","276","264"
"568"," 55 to 59","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","2216","2176"
"569"," 55 to 59","Born outside the UK and Rest of Europe","Total: Ethnic group","143750","141401"
"570"," 55 to 59","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","27304","26480"
"571"," 55 to 59","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","26395","25912"
"572"," 55 to 59","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","36325","36049"
"573"," 55 to 59","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","18069","17832"
"574"," 55 to 59","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","4340","4215"
"575"," 55 to 59","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","6868","6663"
"576"," 55 to 59","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","24449","24250"
"577"," 60 to 64","Total: Country of birth","Total: Ethnic group","1658007","1557140"
"578"," 60 to 64","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","1575892","1476344"
"579"," 60 to 64","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","25039","24412"
"580"," 60 to 64","Total: Country of birth","Asian/Asian British: Indian","26258","25990"
"581"," 60 to 64","Total: Country of birth","Asian/Asian British: Pakistani","9416","9321"
"582"," 60 to 64","Total: Country of birth","Asian/Asian British: Bangladeshi","1421","1383"
"583"," 60 to 64","Total: Country of birth","Asian/Asian British: Chinese","5078","4927"
"584"," 60 to 64","Total: Country of birth","Black/African/Caribbean/Black British","14903","14763"
"585"," 60 to 64","Born in UK or Rest of Europe","Total: Ethnic group","1561111","1461836"
"586"," 60 to 64","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","1553437","1454537"
"587"," 60 to 64","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","5712","5393"
"588"," 60 to 64","Born in UK or Rest of Europe","Asian/Asian British: Indian","470","463"
"589"," 60 to 64","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","261","256"
"590"," 60 to 64","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","65","62"
"591"," 60 to 64","Born in UK or Rest of Europe","Asian/Asian British: Chinese","217","204"
"592"," 60 to 64","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","949","921"
"593"," 60 to 64","Born outside the UK and Rest of Europe","Total: Ethnic group","96896","95304"
"594"," 60 to 64","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","22455","21807"
"595"," 60 to 64","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","19327","19019"
"596"," 60 to 64","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","25788","25527"
"597"," 60 to 64","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","9155","9065"
"598"," 60 to 64","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","1356","1321"
"599"," 60 to 64","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","4861","4723"
"600"," 60 to 64","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","13954","13842"
"601"," 65 or over","Total: Country of birth","Total: Ethnic group","4096161","3844839"
"602"," 65 or over","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","3898004","3649997"
"603"," 65 or over","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","47106","45689"
"604"," 65 or over","Total: Country of birth","Asian/Asian British: Indian","54895","54348"
"605"," 65 or over","Total: Country of birth","Asian/Asian British: Pakistani","25555","25219"
"606"," 65 or over","Total: Country of birth","Asian/Asian British: Bangladeshi","8826","8643"
"607"," 65 or over","Total: Country of birth","Asian/Asian British: Chinese","9237","8951"
"608"," 65 or over","Total: Country of birth","Black/African/Caribbean/Black British","52538","51992"
"609"," 65 or over","Born in UK or Rest of Europe","Total: Ethnic group","3865320","3617797"
"610"," 65 or over","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","3847522","3600969"
"611"," 65 or over","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","11942","11146"
"612"," 65 or over","Born in UK or Rest of Europe","Asian/Asian British: Indian","1146","1121"
"613"," 65 or over","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","660","643"
"614"," 65 or over","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","223","217"
"615"," 65 or over","Born in UK or Rest of Europe","Asian/Asian British: Chinese","440","401"
"616"," 65 or over","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","3387","3300"
"617"," 65 or over","Born outside the UK and Rest of Europe","Total: Ethnic group","230841","227042"
"618"," 65 or over","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","50482","49028"
"619"," 65 or over","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","35164","34543"
"620"," 65 or over","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","53749","53227"
"621"," 65 or over","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","24895","24576"
"622"," 65 or over","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","8603","8426"
"623"," 65 or over","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","8797","8550"
"624"," 65 or over","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","49151","48692"
"625","Total: ","Total: Country of birth","Total: Ethnic group","28502536","26943308"
"626","Total: ","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","24578477","23083076"
"627","Total: ","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","1292592","1262271"
"628","Total: ","Total: Country of birth","Asian/Asian British: Indian","693038","685401"
"629","Total: ","Total: Country of birth","Asian/Asian British: Pakistani","548296","542489"
"630","Total: ","Total: Country of birth","Asian/Asian British: Bangladeshi","216330","211263"
"631","Total: ","Total: Country of birth","Asian/Asian British: Chinese","207113","200379"
"632","Total: ","Total: Country of birth","Black/African/Caribbean/Black British","966690","958429"
"633","Total: ","Born in UK or Rest of Europe","Total: Ethnic group","26083531","24569945"
"634","Total: ","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","24083082","22600516"
"635","Total: ","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","745897","727865"
"636","Total: ","Born in UK or Rest of Europe","Asian/Asian British: Indian","302119","299653"
"637","Total: ","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","318016","314789"
"638","Total: ","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","116252","113539"
"639","Total: ","Born in UK or Rest of Europe","Asian/Asian British: Chinese","48102","46414"
"640","Total: ","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","470063","467169"
"641","Total: ","Born outside the UK and Rest of Europe","Total: Ethnic group","2419005","2373363"
"642","Total: ","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","495395","482560"
"643","Total: ","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","546695","534406"
"644","Total: ","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","390919","385748"
"645","Total: ","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","230280","227700"
"646","Total: ","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","100078","97724"
"647","Total: ","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","159011","153965"
"648","Total: ","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","496627","491260"
"649"," 0 to 4","Total: Country of birth","Total: Ethnic group","1707006","1620278"
"650"," 0 to 4","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","1308309","1228380"
"651"," 0 to 4","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","164970","161268"
"652"," 0 to 4","Total: Country of birth","Asian/Asian British: Indian","48474","47712"
"653"," 0 to 4","Total: Country of birth","Asian/Asian British: Pakistani","63697","63090"
"654"," 0 to 4","Total: Country of birth","Asian/Asian British: Bangladeshi","25282","24692"
"655"," 0 to 4","Total: Country of birth","Asian/Asian British: Chinese","9072","8640"
"656"," 0 to 4","Total: Country of birth","Black/African/Caribbean/Black British","87202","86496"
"657"," 0 to 4","Born in UK or Rest of Europe","Total: Ethnic group","1680391","1594478"
"658"," 0 to 4","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","1301539","1221797"
"659"," 0 to 4","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","156896","153555"
"660"," 0 to 4","Born in UK or Rest of Europe","Asian/Asian British: Indian","43032","42429"
"661"," 0 to 4","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","61725","61146"
"662"," 0 to 4","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","24837","24257"
"663"," 0 to 4","Born in UK or Rest of Europe","Asian/Asian British: Chinese","8463","8046"
"664"," 0 to 4","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","83899","83248"
"665"," 0 to 4","Born outside the UK and Rest of Europe","Total: Ethnic group","26615","25800"
"666"," 0 to 4","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","6770","6583"
"667"," 0 to 4","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","8074","7713"
"668"," 0 to 4","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","5442","5283"
"669"," 0 to 4","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","1972","1944"
"670"," 0 to 4","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","445","435"
"671"," 0 to 4","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","609","594"
"672"," 0 to 4","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","3303","3248"
"673"," 5 to 14","Total: Country of birth","Total: Ethnic group","3121283","2955279"
"674"," 5 to 14","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","2485039","2329479"
"675"," 5 to 14","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","240937","235333"
"676"," 5 to 14","Total: Country of birth","Asian/Asian British: Indian","76074","75200"
"677"," 5 to 14","Total: Country of birth","Asian/Asian British: Pakistani","108620","107524"
"678"," 5 to 14","Total: Country of birth","Asian/Asian British: Bangladeshi","47093","45922"
"679"," 5 to 14","Total: Country of birth","Asian/Asian British: Chinese","13952","13422"
"680"," 5 to 14","Total: Country of birth","Black/African/Caribbean/Black British","149568","148399"
"681"," 5 to 14","Born in UK or Rest of Europe","Total: Ethnic group","2998902","2836179"
"682"," 5 to 14","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","2460145","2305256"
"683"," 5 to 14","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","203911","199656"
"684"," 5 to 14","Born in UK or Rest of Europe","Asian/Asian British: Indian","62601","62112"
"685"," 5 to 14","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","98458","97495"
"686"," 5 to 14","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","43721","42646"
"687"," 5 to 14","Born in UK or Rest of Europe","Asian/Asian British: Chinese","9956","9569"
"688"," 5 to 14","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","120110","119445"
"689"," 5 to 14","Born outside the UK and Rest of Europe","Total: Ethnic group","122381","119100"
"690"," 5 to 14","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","24894","24223"
"691"," 5 to 14","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","37026","35677"
"692"," 5 to 14","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","13473","13088"
"693"," 5 to 14","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","10162","10029"
"694"," 5 to 14","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","3372","3276"
"695"," 5 to 14","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","3996","3853"
"696"," 5 to 14","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","29458","28954"
"697"," 15 to 24","Total: Country of birth","Total: Ethnic group","3619452","3418564"
"698"," 15 to 24","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","2965726","2777054"
"699"," 15 to 24","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","223398","217923"
"700"," 15 to 24","Total: Country of birth","Asian/Asian British: Indian","94161","93079"
"701"," 15 to 24","Total: Country of birth","Asian/Asian British: Pakistani","92051","91098"
"702"," 15 to 24","Total: Country of birth","Asian/Asian British: Bangladeshi","40027","39059"
"703"," 15 to 24","Total: Country of birth","Asian/Asian British: Chinese","58781","56550"
"704"," 15 to 24","Total: Country of birth","Black/African/Caribbean/Black British","145308","143801"
"705"," 15 to 24","Born in UK or Rest of Europe","Total: Ethnic group","3333017","3139424"
"706"," 15 to 24","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","2920730","2733508"
"707"," 15 to 24","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","150729","147132"
"708"," 15 to 24","Born in UK or Rest of Europe","Asian/Asian British: Indian","70098","69550"
"709"," 15 to 24","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","70263","69548"
"710"," 15 to 24","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","28956","28290"
"711"," 15 to 24","Born in UK or Rest of Europe","Asian/Asian British: Chinese","12446","12049"
"712"," 15 to 24","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","79795","79347"
"713"," 15 to 24","Born outside the UK and Rest of Europe","Total: Ethnic group","286435","279140"
"714"," 15 to 24","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","44996","43546"
