"","agegrp","cob","ethgrp","pop_EW","pop_E"
"179"," 40 to 44","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","63418","61601"
"180"," 40 to 44","Born in UK or Rest of Europe","Asian/Asian British: Indian","39814","39526"
"181"," 40 to 44","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","23610","23285"
"182"," 40 to 44","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","2227","2176"
"183"," 40 to 44","Born in UK or Rest of Europe","Asian/Asian British: Chinese","4179","4038"
"184"," 40 to 44","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","75878","75355"
"185"," 40 to 44","Born outside the UK and Rest of Europe","Total: Ethnic group","454039","445354"
"186"," 40 to 44","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","93158","90771"
"187"," 40 to 44","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","111673","109181"
"188"," 40 to 44","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","62339","61365"
"189"," 40 to 44","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","48384","47837"
"190"," 40 to 44","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","23808","23204"
"191"," 40 to 44","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","20400","19722"
"192"," 40 to 44","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","94277","93274"
"193"," 45 to 49","Total: Country of birth","Total: Ethnic group","4100526","3879815"
"194"," 45 to 49","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","3637280","3423700"
"195"," 45 to 49","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","135652","132383"
"196"," 45 to 49","Total: Country of birth","Asian/Asian British: Indian","85505","84678"
"197"," 45 to 49","Total: Country of birth","Asian/Asian British: Pakistani","44089","43567"
"198"," 45 to 49","Total: Country of birth","Asian/Asian British: Bangladeshi","15964","15540"
"199"," 45 to 49","Total: Country of birth","Asian/Asian British: Chinese","22784","22048"
"200"," 45 to 49","Total: Country of birth","Black/African/Caribbean/Black British","159252","157899"
"201"," 45 to 49","Born in UK or Rest of Europe","Total: Ethnic group","3711628","3497775"
"202"," 45 to 49","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","3554382","3343102"
"203"," 45 to 49","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","50463","48819"
"204"," 45 to 49","Born in UK or Rest of Europe","Asian/Asian British: Indian","15107","14983"
"205"," 45 to 49","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","5515","5435"
"206"," 45 to 49","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","719","688"
"207"," 45 to 49","Born in UK or Rest of Europe","Asian/Asian British: Chinese","1735","1670"
"208"," 45 to 49","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","83707","83078"
"209"," 45 to 49","Born outside the UK and Rest of Europe","Total: Ethnic group","388898","382040"
"210"," 45 to 49","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","82898","80598"
"211"," 45 to 49","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","85189","83564"
"212"," 45 to 49","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","70398","69695"
"213"," 45 to 49","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","38574","38132"
"214"," 45 to 49","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","15245","14852"
"215"," 45 to 49","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","21049","20378"
"216"," 45 to 49","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","75545","74821"
"217"," 50 to 54","Total: Country of birth","Total: Ethnic group","3601694","3400095"
"218"," 50 to 54","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","3241624","3045645"
