"","year","sex","age","ETH.group","CoB","timeinUK(0,1]","pop"
"179",2011,"M",7,"IND","Non-UK born",TRUE,745
"180",2011,"M",7,"IND","UK born",NA,6505
"181",2011,"M",7,"MIX","Non-UK born",FALSE,551
"182",2011,"M",7,"MIX","Non-UK born",TRUE,609
"183",2011,"M",7,"MIX","UK born",NA,14993
"184",2011,"M",7,"OTH","Non-UK born",FALSE,1034
"185",2011,"M",7,"OTH","Non-UK born",TRUE,676
"186",2011,"M",7,"OTH","UK born",NA,2463
"187",2011,"M",7,"PAK","Non-UK born",FALSE,961
"188",2011,"M",7,"PAK","Non-UK born",TRUE,952
"189",2011,"M",7,"PAK","UK born",NA,9840
"190",2011,"M",7,"WBI+WHO","Non-UK born",FALSE,3949
"191",2011,"M",7,"WBI+WHO","Non-UK born",TRUE,906
"192",2011,"M",7,"WBI+WHO","UK born",NA,232919
"193",2011,"M",8,"BAN","Non-UK born",FALSE,432
"194",2011,"M",8,"BAN","Non-UK born",TRUE,443
"195",2011,"M",8,"BAN","UK born",NA,4240
"196",2011,"M",8,"BLA+BLC+OBL","Non-UK born",FALSE,2751
"197",2011,"M",8,"BLA+BLC+OBL","Non-UK born",TRUE,1029
"198",2011,"M",8,"BLA+BLC+OBL","UK born",NA,11233
"199",2011,"M",8,"CHI+OAS","Non-UK born",FALSE,1606
"200",2011,"M",8,"CHI+OAS","Non-UK born",TRUE,1040
"201",2011,"M",8,"CHI+OAS","UK born",NA,3939
"202",2011,"M",8,"IND","Non-UK born",FALSE,885
"203",2011,"M",8,"IND","Non-UK born",TRUE,657
"204",2011,"M",8,"IND","UK born",NA,6336
"205",2011,"M",8,"MIX","Non-UK born",FALSE,498
"206",2011,"M",8,"MIX","Non-UK born",TRUE,524
"207",2011,"M",8,"MIX","UK born",NA,14168
"208",2011,"M",8,"OTH","Non-UK born",FALSE,882
"209",2011,"M",8,"OTH","Non-UK born",TRUE,549
"210",2011,"M",8,"OTH","UK born",NA,2211
"211",2011,"M",8,"PAK","Non-UK born",FALSE,945
"212",2011,"M",8,"PAK","Non-UK born",TRUE,891
"213",2011,"M",8,"PAK","UK born",NA,10128
"214",2011,"M",8,"WBI+WHO","Non-UK born",FALSE,3629
"215",2011,"M",8,"WBI+WHO","Non-UK born",TRUE,792
"216",2011,"M",8,"WBI+WHO","UK born",NA,227486
"217",2011,"M",9,"BAN","Non-UK born",FALSE,575
"218",2011,"M",9,"BAN","Non-UK born",TRUE,560
"219",2011,"M",9,"BAN","UK born",NA,3670
"220",2011,"M",9,"BLA+BLC+OBL","Non-UK born",FALSE,3538
"221",2011,"M",9,"BLA+BLC+OBL","Non-UK born",TRUE,1260
"222",2011,"M",9,"BLA+BLC+OBL","UK born",NA,9515
"223",2011,"M",9,"CHI+OAS","Non-UK born",FALSE,1946
"224",2011,"M",9,"CHI+OAS","Non-UK born",TRUE,1199
"225",2011,"M",9,"CHI+OAS","UK born",NA,3124
"226",2011,"M",9,"IND","Non-UK born",FALSE,1187
"227",2011,"M",9,"IND","Non-UK born",TRUE,840
"228",2011,"M",9,"IND","UK born",NA,5558
"229",2011,"M",9,"MIX","Non-UK born",FALSE,694
"230",2011,"M",9,"MIX","Non-UK born",TRUE,694
"231",2011,"M",9,"MIX","UK born",NA,12842
"232",2011,"M",9,"OTH","Non-UK born",FALSE,1164
"233",2011,"M",9,"OTH","Non-UK born",TRUE,689
"234",2011,"M",9,"OTH","UK born",NA,1910
"235",2011,"M",9,"PAK","Non-UK born",FALSE,1311
"236",2011,"M",9,"PAK","Non-UK born",TRUE,1176
"237",2011,"M",9,"PAK","UK born",NA,9155
"238",2011,"M",9,"WBI+WHO","Non-UK born",FALSE,5357
"239",2011,"M",9,"WBI+WHO","Non-UK born",TRUE,1112
"240",2011,"M",9,"WBI+WHO","UK born",NA,222166
"241",2011,"M",10,"BAN","Non-UK born",FALSE,506
"242",2011,"M",10,"BAN","Non-UK born",TRUE,469
"243",2011,"M",10,"BAN","UK born",NA,3486
"244",2011,"M",10,"BLA+BLC+OBL","Non-UK born",FALSE,3349
"245",2011,"M",10,"BLA+BLC+OBL","Non-UK born",TRUE,1134
"246",2011,"M",10,"BLA+BLC+OBL","UK born",NA,9829
"247",2011,"M",10,"CHI+OAS","Non-UK born",FALSE,1958
"248",2011,"M",10,"CHI+OAS","Non-UK born",TRUE,1148
"249",2011,"M",10,"CHI+OAS","UK born",NA,3410
"250",2011,"M",10,"IND","Non-UK born",FALSE,1132
"251",2011,"M",10,"IND","Non-UK born",TRUE,762
"252",2011,"M",10,"IND","UK born",NA,5740
"253",2011,"M",10,"MIX","Non-UK born",FALSE,641
"254",2011,"M",10,"MIX","Non-UK born",TRUE,611
"255",2011,"M",10,"MIX","UK born",NA,12801
"256",2011,"M",10,"OTH","Non-UK born",FALSE,1099
"257",2011,"M",10,"OTH","Non-UK born",TRUE,619
"258",2011,"M",10,"OTH","UK born",NA,1957
"259",2011,"M",10,"PAK","Non-UK born",FALSE,1142
"260",2011,"M",10,"PAK","Non-UK born",TRUE,976
"261",2011,"M",10,"PAK","UK born",NA,8618
"262",2011,"M",10,"WBI+WHO","Non-UK born",FALSE,5067
"263",2011,"M",10,"WBI+WHO","Non-UK born",TRUE,1001
"264",2011,"M",10,"WBI+WHO","UK born",NA,230362
"265",2011,"M",11,"BAN","Non-UK born",FALSE,605
"266",2011,"M",11,"BAN","Non-UK born",TRUE,533
"267",2011,"M",11,"BAN","UK born",NA,3382
"268",2011,"M",11,"BLA+BLC+OBL","Non-UK born",FALSE,3865
"269",2011,"M",11,"BLA+BLC+OBL","Non-UK born",TRUE,1246
"270",2011,"M",11,"BLA+BLC+OBL","UK born",NA,9321
"271",2011,"M",11,"CHI+OAS","Non-UK born",FALSE,2280
"272",2011,"M",11,"CHI+OAS","Non-UK born",TRUE,1272
"273",2011,"M",11,"CHI+OAS","UK born",NA,3245
"274",2011,"M",11,"IND","Non-UK born",FALSE,1324
"275",2011,"M",11,"IND","Non-UK born",TRUE,847
"276",2011,"M",11,"IND","UK born",NA,5473
"277",2011,"M",11,"MIX","Non-UK born",FALSE,766
"278",2011,"M",11,"MIX","Non-UK born",TRUE,693
"279",2011,"M",11,"MIX","UK born",NA,12411
"280",2011,"M",11,"OTH","Non-UK born",FALSE,1224
"281",2011,"M",11,"OTH","Non-UK born",TRUE,657
"282",2011,"M",11,"OTH","UK born",NA,1782
"283",2011,"M",11,"PAK","Non-UK born",FALSE,1335
"284",2011,"M",11,"PAK","Non-UK born",TRUE,1085
"285",2011,"M",11,"PAK","UK born",NA,8190
"286",2011,"M",11,"WBI+WHO","Non-UK born",FALSE,6344
"287",2011,"M",11,"WBI+WHO","Non-UK born",TRUE,1192
"288",2011,"M",11,"WBI+WHO","UK born",NA,237967
"289",2011,"M",12,"BAN","Non-UK born",FALSE,593
"290",2011,"M",12,"BAN","Non-UK born",TRUE,498
"291",2011,"M",12,"BAN","UK born",NA,3465
"292",2011,"M",12,"BLA+BLC+OBL","Non-UK born",FALSE,3706
"293",2011,"M",12,"BLA+BLC+OBL","Non-UK born",TRUE,1136
"294",2011,"M",12,"BLA+BLC+OBL","UK born",NA,9439
"295",2011,"M",12,"CHI+OAS","Non-UK born",FALSE,2209
"296",2011,"M",12,"CHI+OAS","Non-UK born",TRUE,1172
"297",2011,"M",12,"CHI+OAS","UK born",NA,3302
"298",2011,"M",12,"IND","Non-UK born",FALSE,1293
"299",2011,"M",12,"IND","Non-UK born",TRUE,787
"300",2011,"M",12,"IND","UK born",NA,5607
"301",2011,"M",12,"MIX","Non-UK born",FALSE,749
"302",2011,"M",12,"MIX","Non-UK born",TRUE,646
"303",2011,"M",12,"MIX","UK born",NA,12685
"304",2011,"M",12,"OTH","Non-UK born",FALSE,1151
"305",2011,"M",12,"OTH","Non-UK born",TRUE,587
"306",2011,"M",12,"OTH","UK born",NA,1762
"307",2011,"M",12,"PAK","Non-UK born",FALSE,1273
"308",2011,"M",12,"PAK","Non-UK born",TRUE,985
"309",2011,"M",12,"PAK","UK born",NA,8171
"310",2011,"M",12,"WBI+WHO","Non-UK born",FALSE,6224
"311",2011,"M",12,"WBI+WHO","Non-UK born",TRUE,1112
"312",2011,"M",12,"WBI+WHO","UK born",NA,247665
"313",2011,"M",13,"BAN","Non-UK born",FALSE,594
"314",2011,"M",13,"BAN","Non-UK born",TRUE,474
"315",2011,"M",13,"BAN","UK born",NA,3500
"316",2011,"M",13,"BLA+BLC+OBL","Non-UK born",FALSE,3765
"317",2011,"M",13,"BLA+BLC+OBL","Non-UK born",TRUE,1099
"318",2011,"M",13,"BLA+BLC+OBL","UK born",NA,9784
"319",2011,"M",13,"CHI+OAS","Non-UK born",FALSE,2331
"320",2011,"M",13,"CHI+OAS","Non-UK born",TRUE,1177
"321",2011,"M",13,"CHI+OAS","UK born",NA,3534
"322",2011,"M",13,"IND","Non-UK born",FALSE,1269
"323",2011,"M",13,"IND","Non-UK born",TRUE,736
"324",2011,"M",13,"IND","UK born",NA,5576
"325",2011,"M",13,"MIX","Non-UK born",FALSE,750
"326",2011,"M",13,"MIX","Non-UK born",TRUE,614
"327",2011,"M",13,"MIX","UK born",NA,12795
"328",2011,"M",13,"OTH","Non-UK born",FALSE,1145
"329",2011,"M",13,"OTH","Non-UK born",TRUE,555
"330",2011,"M",13,"OTH","UK born",NA,1777
"331",2011,"M",13,"PAK","Non-UK born",FALSE,1218
"332",2011,"M",13,"PAK","Non-UK born",TRUE,896
"333",2011,"M",13,"PAK","UK born",NA,7893
"334",2011,"M",13,"WBI+WHO","Non-UK born",FALSE,6169
"335",2011,"M",13,"WBI+WHO","Non-UK born",TRUE,1049
"336",2011,"M",13,"WBI+WHO","UK born",NA,251423
"337",2011,"M",14,"BAN","Non-UK born",FALSE,629
"338",2011,"M",14,"BAN","Non-UK born",TRUE,477
"339",2011,"M",14,"BAN","UK born",NA,3226
"340",2011,"M",14,"BLA+BLC+OBL","Non-UK born",FALSE,4182
"341",2011,"M",14,"BLA+BLC+OBL","Non-UK born",TRUE,1161
"342",2011,"M",14,"BLA+BLC+OBL","UK born",NA,9563
"343",2011,"M",14,"CHI+OAS","Non-UK born",FALSE,2652
"344",2011,"M",14,"CHI+OAS","Non-UK born",TRUE,1274
"345",2011,"M",14,"CHI+OAS","UK born",NA,3519
"346",2011,"M",14,"IND","Non-UK born",FALSE,1436
"347",2011,"M",14,"IND","Non-UK born",TRUE,791
"348",2011,"M",14,"IND","UK born",NA,5510
"349",2011,"M",14,"MIX","Non-UK born",FALSE,830
"350",2011,"M",14,"MIX","Non-UK born",TRUE,648
"351",2011,"M",14,"MIX","UK born",NA,12342
"352",2011,"M",14,"OTH","Non-UK born",FALSE,1296
"353",2011,"M",14,"OTH","Non-UK born",TRUE,598
